CODE,Id,lat,lon,.geo
1781,0,39.11974535,-77.57958119,"{""type"":""Polygon"",""coordinates"":[[[-77.58442543204951,39.12461190402133],[-77.58442543204951,39.11511402721021],[-77.5749275247779,39.115114054950716],[-77.5749275247779,39.12461194348612],[-77.58155817384157,39.12461190551859],[-77.58331062901226,39.1226098192003],[-77.58408204695337,39.1246118945203],[-77.58442543204951,39.12461190402133]]]}"
1782,0,38.68286438,-77.23767678,"{""type"":""Polygon"",""coordinates"":[[[-77.24242574621901,38.678113203250945],[-77.2329278175094,38.67811320296956],[-77.2329278175094,38.68761557719618],[-77.24242574621901,38.687615571336465],[-77.24242574621901,38.678113203250945]]]}"
1783,0,38.75886307,-76.8196784,"{""type"":""Polygon"",""coordinates"":[[[-76.82442957860296,38.763612028585214],[-76.82442957860296,38.754114138899716],[-76.8149272151632,38.754114139613996],[-76.8149272151632,38.76361202728181],[-76.82442957860296,38.763612028585214]]]}"
1784,0,38.84436411,-77.08567715,"{""type"":""Polygon"",""coordinates"":[[[-77.09042832433362,38.84911525113495],[-77.09042832433362,38.83961296052434],[-77.08092598657409,38.839612943549525],[-77.08092598657409,38.8491153153801],[-77.09042832433362,38.84911525113495]]]}"
1785,0,38.44852797,-77.44184144,"{""type"":""MultiPolygon"",""coordinates"":[[[[-77.44192591373807,38.45011489894981],[-77.44192591373807,38.4499499413338],[-77.44180106549078,38.45011494369649],[-77.44192591373807,38.45011489894981]]],[[[-77.44192591373807,38.448068226378425],[-77.4416583565989,38.44824208628427],[-77.44192591373807,38.4487682861665],[-77.44192591373807,38.448068226378425]]]]}"
1786,0,38.73986285,-77.7411784,"{""type"":""Polygon"",""coordinates"":[[[-77.74592954622862,38.73511389731332],[-77.73642724706771,38.735113924092325],[-77.73642724706771,38.744611792876455],[-77.74592954622862,38.74461182921415],[-77.74592954622862,38.73511389731332]]]}"
1787,0,38.74936296,-77.21867659,"{""type"":""Polygon"",""coordinates"":[[[-77.22342552775937,38.754114172476655],[-77.22342552775937,38.7446117616683],[-77.21392764914397,38.744611793336105],[-77.21392764914397,38.75411413117218],[-77.22342552775937,38.754114172476655]]]}"
1788,0,38.86336436,-77.04767673,"{""type"":""Polygon"",""coordinates"":[[[-77.04292556037858,38.86811555193976],[-77.05242790979865,38.868115535642424],[-77.05242790979865,38.8586131896024],[-77.04292556037858,38.858613203908284],[-77.04292556037858,38.86811555193976]]]}"
1789,0,39.19586391,-77.19017847,"{""type"":""Polygon"",""coordinates"":[[[-77.18542952676637,39.19111498320612],[-77.18542952676637,39.20061288244435],[-77.19492741058163,39.20061285095312],[-77.19492741058163,39.19111495585956],[-77.18542952676637,39.19111498320612]]]}"
1790,0,38.77786329,-77.54167821,"{""type"":""Polygon"",""coordinates"":[[[-77.53692705677767,38.7731143329964],[-77.53692705677767,38.78261223435268],[-77.54642937282524,38.78261226052385],[-77.54642937282524,38.77311437088803],[-77.53692705677767,38.7731143329964]]]}"
1791,0,38.92986289,-77.56067846,"{""type"":""Polygon"",""coordinates"":[[[-77.56542960743022,38.92511172486383],[-77.55592730777887,38.92511173185917],[-77.55592730777887,38.934614079357765],[-77.56542960743022,38.9346140607495],[-77.56542960743022,38.92511172486383]]]}"
1792,0,39.21712071,-77.27450187,"{""type"":""MultiPolygon"",""coordinates"":[[[[-77.27092826380152,39.21222883266851],[-77.27092826380152,39.2140525715604],[-77.27134746233389,39.212647975740516],[-77.27092826380152,39.21222883266851]]],[[[-77.27092826380152,39.21961306364969],[-77.27891899455281,39.21961310560365],[-77.27707291034984,39.21428447844061],[-77.2716997597967,39.214681293270715],[-77.27092826380152,39.214681311102424],[-77.27092826380152,39.21961306364969]]]]}"
